Kappa3,Cross Section,Uncertainty
0.632,9.7982442511616072E-002,2.3595039838528005E-004
8.0,0.53530281316381301,1.2846522072255220E-003
-2.0,0.39445810257815234,9.6538987806320622E-004
-0.947,0.24725108818686570,5.9423171003460465E-004
6.421,0.28425915232638077,6.6259686560714390E-004
4.842,0.11911187902794194,2.7769331925659016E-004
7.474,0.44214329654843681,1.0502472524591328E-003
3.263,3.9820881871174399E-002,9.6472353391443408E-005
1.684,4.6121689279548538E-002,1.1834686937952987E-004
1.0,7.5493219023130817E-002,1.8926524130154728E-004
2.737,3.2432467329080610E-002,8.2394798571083661E-005
-1.474,0.31615699566904532,7.6880806300334121E-004
-0.421,0.18801428270033343,4.4978645285484648E-004
6.947,0.35835252940716295,8.4182624407543852E-004
0.105,0.13828435898609587,3.2981409659816723E-004
3.789,5.6709555467319150E-002,1.3319211594016106E-004
1.158,6.7266815787895146E-002,1.7548620035504512E-004
2.211,3.4551811657770416E-002,9.6703603902372525E-005
5.895,0.21969668961294425,5.0996250970679086E-004
5.368,0.16457937745441534,3.8275138969372507E-004
4.316,8.3181665991272719E-002,1.9447700738504486E-004
